Designator,Mid X,Mid Y,Rotation,Layer
C1,139.192,-118.364,90.0,top
C10,146.685,-117.475,270.0,top
C11,139.954,-85.09,0.0,top
C12,135.89,-85.09,180.0,top
C13,147.828,-85.09,0.0,top
C14,143.9175,-85.09,180.0,top
C15,184.404,-113.792,180.0,top
C16,153.005349,-123.444,0.0,top
C17,128.27,-125.349,180.0,top
C18,150.876,-87.376,90.0,bottom
C3,141.605,-95.25,270.0,top
C4,170.434,-112.776,90.0,top
C5,166.116,-107.95,180.0,top
C6,160.655,-109.1935,270.0,top
C7,144.145,-109.1935,270.0,top
C9,153.035,-117.475,270.0,top
D1,149.098,-130.81,270.0,top
D3,168.91,-129.54,90.0,top
D9,185.166,-105.41,180.0,top
J1,139.4,-125.222,0.0,top
J2,162.5,-125.55,0.0,top
J3,138.176,-74.623,180.0,top
PS1,183.906,-95.886,180.0,top
Q2,124.46,-118.745,90.0,top
Q3,117.094,-118.11,180.0,top
Q4,128.27,-121.285,270.0,top
R1,135.255,-120.142,0.0,top
R10,116.078,-115.316,180.0,top
R11,168.91,-125.984,270.0,top
R12,128.27,-127.381,180.0,top
R13,121.158,-116.713,270.0,top
R14,112.903,-118.11,270.0,top
R24,135.89,-78.74,180.0,top
R25,139.954,-78.74,0.0,top
R26,143.9145,-78.74,180.0,top
R27,147.828,-78.74,0.0,top
R4,141.605,-99.7955,90.0,top
R6,166.0125,-120.65,0.0,top
R9,136.144,-79.246,90.0,bottom
U1,117.331,-99.9175,90.0,top
U2,135.255,-114.935,180.0,top
U3,149.225,-98.806,0.0,top
U4,166.37,-114.935,180.0,top
U5,149.86,-115.57,0.0,top
U6,143.764,-83.566,180.0,bottom
U8,137.922,-81.788,0.0,top
U9,145.796,-81.788,0.0,top
Y1,152.273,-108.839,0.0,top
